window_start,window_end,feedback_event,feedback_vote,feedback_rating,chat_feedback_events,rows_with_agent_id,matched_agent_by_run_id,matched_agent_by_workflow_id,matched_agent_by_chat_session_id,matched_agent_by_session_tracking_token,agent_related_feedback_events
2026-03-23,2026-05-22,FEEDBACK_TIME_SAVED,NO_VOTE,NO_RATING,57892,57892,43947,32147,0,51064,57892
2026-03-23,2026-05-22,UPVOTE,NO_VOTE,NO_RATING,136662,37907,12826,8043,0,21198,40195
2026-03-23,2026-05-22,DOWNVOTE,NO_VOTE,NO_RATING,60995,18230,4616,4749,0,7386,19114
2026-03-23,2026-05-22,MANUAL_FEEDBACK,DOWNVOTE,NO_RATING,44814,13552,2966,3318,0,4514,14143
2026-03-23,2026-05-22,MANUAL_FEEDBACK,UPVOTE,NO_RATING,12177,2577,1663,939,0,2309,2875
2026-03-23,2026-05-22,MANUAL_FEEDBACK,NO_VOTE,1,7,0,0,0,0,6,6
2026-03-23,2026-05-22,MANUAL_FEEDBACK,NO_VOTE,2,1,0,0,0,0,1,1
2026-03-23,2026-05-22,MANUAL_FEEDBACK,NO_VOTE,NO_RATING,5,0,0,0,0,0,0
