window,window_start,window_end,signal,expected_parent_surface,attribution_status,classification,signal_count,attributed_signal_count,classification_rate,readout_decision
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,TRUST_SIGNAL_WITH_ALIASING,105079,0,0.0,hold
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_STRICT,ATTRIBUTABLE_TRUST_SIGNAL,149162,149162,1.0,candidate
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,55859,0,0.0,hold
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_AMBIGUOUS,TRUST_SIGNAL_AVAILABLE_BUT_HELD,246,0,0.0,hold
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_SESSION,ATTRIBUTABLE_TRUST_SIGNAL,205,205,1.0,candidate
2,2026-02-21,2026-04-22,SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_AMBIGUOUS,TRUST_SIGNAL_AVAILABLE_BUT_HELD,15,0,0.0,hold
2,2026-02-21,2026-04-22,SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_STRICT,ATTRIBUTABLE_TRUST_SIGNAL,947,947,1.0,candidate
2,2026-02-21,2026-04-22,SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,2196,0,0.0,hold
3,2026-01-22,2026-03-23,AI_ANSWER_VOTE,workflow:AI_ANSWER,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,TRUST_SIGNAL_WITH_ALIASING,4356,0,0.0,hold
3,2026-01-22,2026-03-23,AI_ANSWER_VOTE,workflow:AI_ANSWER,SMALL_CELL_SUPPRESSED,INSUFFICIENT_TRUST_EVIDENCE,0,0,,hold
3,2026-01-22,2026-03-23,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,TRUST_ATTRIBUTION_AMBIGUOUS,TRUST_SIGNAL_AVAILABLE_BUT_HELD,86,0,0.0,hold
3,2026-01-22,2026-03-23,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,TRUST_ATTRIBUTION_STRICT,ATTRIBUTABLE_TRUST_SIGNAL,27,27,1.0,narrow_review
3,2026-01-22,2026-03-23,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,388,0,0.0,hold
3,2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,TRUST_SIGNAL_WITH_ALIASING,4803,0,0.0,hold
3,2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,TRUST_ATTRIBUTION_STRICT,ATTRIBUTABLE_TRUST_SIGNAL,948,948,1.0,narrow_review
3,2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,284185,0,0.0,hold
3,2026-01-22,2026-03-23,CHAT_CITATION_CLICK,workflow:CHAT,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,TRUST_SIGNAL_WITH_ALIASING,248166,0,0.0,hold
3,2026-01-22,2026-03-23,CHAT_CITATION_CLICK,workflow:CHAT,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,129,0,0.0,hold
3,2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_AMBIGUOUS,TRUST_SIGNAL_AVAILABLE_BUT_HELD,847,0,0.0,hold
3,2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,TRUST_SIGNAL_WITH_ALIASING,62264,0,0.0,hold
3,2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_STRICT,ATTRIBUTABLE_TRUST_SIGNAL,72867,72867,1.0,candidate
3,2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,107258,0,0.0,hold
3,2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_AMBIGUOUS,TRUST_SIGNAL_AVAILABLE_BUT_HELD,93,0,0.0,hold
3,2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_SESSION,ATTRIBUTABLE_TRUST_SIGNAL,72,72,1.0,candidate
3,2026-01-22,2026-03-23,SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_AMBIGUOUS,TRUST_SIGNAL_AVAILABLE_BUT_HELD,32,0,0.0,hold
3,2026-01-22,2026-03-23,SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_STRICT,ATTRIBUTABLE_TRUST_SIGNAL,852,852,1.0,candidate
3,2026-01-22,2026-03-23,SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_NO_PARENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,7791,0,0.0,hold
