gap_component,episode_count,episode_share_of_gap,coverage_caveat
ambiguous_boundary_folded,25707512,0.7889440412065671,"candidate episode-key count; trace, run, action, or session keys may overlap"
span_or_llm_activity_without_governed_outcome,6668885,0.20466302154179128,span or LLM activity exists without governed aggregate outcome evidence
ai_activity_without_terminal_outcome,201169,0.006173724000419952,AI work activity exists without terminal aggregate outcome evidence
verification_or_feedback_without_observed_resolution,7143,2.1921325122160827E-4,verification or feedback exists without observed aggregate resolution
