gap_component,episode_count,episode_share_of_gap,coverage_caveat
ambiguous_boundary_folded,26053084,0.8129356101406409,"candidate episode-key count; trace, run, action, or session keys may overlap"
span_or_llm_activity_without_governed_outcome,5761636,0.17978060014193642,span or LLM activity exists without governed aggregate outcome evidence
ai_activity_without_terminal_outcome,226420,0.007064993950353206,AI work activity exists without terminal aggregate outcome evidence
verification_or_feedback_without_observed_resolution,7011,2.1876456402228746E-4,verification or feedback exists without observed aggregate resolution
small_cell_withheld,WITHHELD,WITHHELD,rare aggregate component below output floor; exact value must be withheld from shareable readouts
