gap_component,episode_count,episode_share_of_gap,coverage_caveat
ambiguous_boundary_folded,22762358,0.8041287379899246,"candidate episode-key count; trace, run, action, or session keys may overlap"
span_or_llm_activity_without_governed_outcome,5359980,0.18935270032442314,span or LLM activity exists without governed aggregate outcome evidence
ai_activity_without_terminal_outcome,179103,0.006327194632480934,AI work activity exists without terminal aggregate outcome evidence
verification_or_feedback_without_observed_resolution,5417,1.9136705317135516E-4,verification or feedback exists without observed aggregate resolution
