gap_component,episode_count,episode_share_of_gap,coverage_caveat
ambiguous_boundary_folded,19699289,0.7904120044885787,"candidate episode-key count; trace, run, action, or session keys may overlap"
span_or_llm_activity_without_governed_outcome,5019988,0.2014214207217637,span or LLM activity exists without governed aggregate outcome evidence
ai_activity_without_terminal_outcome,197807,0.00793678530082341,AI work activity exists without terminal aggregate outcome evidence
verification_or_feedback_without_observed_resolution,5726,2.2974936494924269E-4,verification or feedback exists without observed aggregate resolution
small_cell_withheld,WITHHELD,WITHHELD,rare aggregate component below output floor; exact value must be withheld from shareable readouts
