window_start,window_end,read_mechanism,skill_name_status,parent_join_status,skill_read_rows,distinct_specified_skill_names,rows_with_workflow_run_id,rows_with_action_run_id,rows_with_session_token,distinct_workflow_runs,distinct_action_runs,distinct_sessions,skill_read_share,overall_unspecified_share,overall_parent_join_key_share,availability_status
2026-01-22,2026-03-23,shell_skill_reader_attributes,specified,has_parent_join_key,140167,14,0,140167,0,0,140159,0,0.9634993847824742,0.0,0.9634993847824742,SKILL_READ_EVIDENCE_AVAILABLE
2026-01-22,2026-03-23,shell_skill_reader_attributes,specified,missing_parent_join_key,5310,4,0,0,0,0,0,0,0.036500615217525796,0.0,0.9634993847824742,SKILL_READ_EVIDENCE_AVAILABLE
