outcome_domain,source_table,candidate_metric_family,window_id,row_count,entity_count,rows_with_start_date,rows_with_due_date,rows_with_status,rows_with_budgeted_hours,rows_with_company_key,p50_days_start_to_due,p90_days_start_to_due
onboarding,rocketlane.project,project_delivery_metrics,window_1,32,32,32,31,32,22,32,131,503
onboarding,rocketlane.project,project_delivery_metrics,window_2,51,51,51,51,51,37,51,131,501
onboarding,rocketlane.project,project_delivery_metrics,window_3,93,93,93,92,93,55,93,131,503
