window_id,window_start,window_end,aggregate_join_key_type,aggregate_join_key,behavior_rows,cohort_rows,signal_count,attributed_signal_count,attributed_signal_share,scale_candidate_cohort_share,focused_expert_use_cohort_share,shallow_adoption_cohort_share,trust_evidence_gap_cohort_share,suppressed_cohort_share,outcome_domain,source_system,support_ticket_count,support_p50_days_elapsed,support_p90_days_elapsed,support_p50_business_minutes_to_first_response,causality_status,interpretation_status,join_decision
window_1,2026-03-23,2026-05-22,fixed_window_context,window_1,153,2238715,1812246,154837,0.085439,0.023235,0.000323,0.003450,0.972992,0.000000,support,Zendesk,4469,13,26,183,NOT_CAUSAL,OUTCOME_CONTEXT_ONLY,PROMOTE_SUPPORT_OUTCOME_CONTEXT_JOIN_HOLD_BEHAVIOR_ATTRIBUTION
window_2,2026-02-21,2026-04-22,fixed_window_context,window_2,141,2222614,887076,151031,0.170257,0.021033,0.000175,0.002932,0.975860,0.000000,support,Zendesk,4549,15,35,212,NOT_CAUSAL,OUTCOME_CONTEXT_ONLY,PROMOTE_SUPPORT_OUTCOME_CONTEXT_JOIN_HOLD_BEHAVIOR_ATTRIBUTION
window_3,2026-01-22,2026-03-23,fixed_window_context,window_3,130,2219511,794628,74749,0.094068,0.011865,0.000063,0.001352,0.986720,0.000000,support,Zendesk,4163,15,43,218,NOT_CAUSAL,OUTCOME_CONTEXT_ONLY,PROMOTE_SUPPORT_OUTCOME_CONTEXT_JOIN_HOLD_BEHAVIOR_ATTRIBUTION
