behavior_cohort_dimension,behavior_cohort_band,trust_classification,agent_delegation_classification,skill_read_presence_classification,window_count,windows_present,min_cohort_size,max_cohort_size,window_signal_count_sum,window_attributed_signal_count_sum,mean_attributed_signal_share,max_agent_delegation_user_count,max_skill_read_user_count,readiness_decisions
agent_delegation_band,AGENT_DELEGATION_REPEATED,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_REPEATED,SKILL_READ_PRESENT,3,1|2|3,2281,31039,254931,0,0.0,31039,31039,CONTINUE_RESEARCH
depth_repertoire_band,ACTIVE_BUT_SHALLOW,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,3,1|2|3,2885,5682,44284,33728,0.7422629665655479,0,0,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
depth_repertoire_band,ACTIVE_BUT_SHALLOW,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,3,1|2|3,111,2016,9785,7287,0.8337357918222793,0,2016,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
depth_repertoire_band,ACTIVE_BUT_SHALLOW,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,3,1|2|3,8,16,37,36,0.9666666666666667,16,0,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
depth_repertoire_band,ACTIVE_BUT_SHALLOW,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,2,1|2,7,14,42,38,0.9027777777777777,14,0,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
depth_repertoire_band,ACTIVE_BUT_SHALLOW,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,3,1|2|3,330851,345852,0,0,,0,0,HOLD_FOR_EVIDENCE_GAPS
depth_repertoire_band,ACTIVE_BUT_SHALLOW,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,3,1|2|3,1561,16032,0,0,,0,16032,CONTINUE_RESEARCH
depth_repertoire_band,ACTIVE_BUT_SHALLOW,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,3,1|2|3,3789,4376,0,0,,4376,0,HOLD_FOR_EVIDENCE_GAPS
depth_repertoire_band,ACTIVE_BUT_SHALLOW,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,2,1|2,15,90,0,0,,90,90,CONTINUE_RESEARCH
depth_repertoire_band,ACTIVE_BUT_SHALLOW,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,3,1|2|3,3109,3676,0,0,,3676,0,CONTINUE_RESEARCH
